"","district","sc","parish","village","messenger","recipient","IVR","sms","head_name","tel_contact"
"760","NAMUTUMBA","MAGADA","KIWANYI","NAWANSEKESE","male","couple","yes","no",NA,NA
"761","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI A","male","couple","yes","no",NA,NA
"762","BUGIRI","BULESA","BULUWE","MALENDELE","male","couple","yes","yes",NA,NA
"763","NAMAYINGO","BANDA","BUJWANGA","BUDUNGA EAST","male","couple","yes","no",NA,NA
"764","IGANGA","BUYANGA","BUWOOYA","BUYANGA C","male","couple","yes","no",NA,NA
"765","MAYUGE","BUKATUBE","LWANIKA","KASONZI","male","couple","yes","yes",NA,NA
"766","NAMUTUMBA","NSINZE","NAWAIKONA","BUKEBWE","male","couple","yes","no",NA,NA
"767","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU B","male","couple","yes","yes",NA,NA
"768","NAMAYINGO","BANDA","LUTOLO","NANGERA B","male","couple","no","no",NA,NA
"769","NAMUTUMBA","NSINZE","NAWAIKONA","NABIKENGE","male","couple","yes","yes",NA,NA
"770","NAMUTUMBA","MAGADA","KAGULU","KAWANAMO","male","couple","yes","no",NA,NA
"771","NAMUTUMBA","NSINZE","NAWAIKONA","NAWAIKONA ''B'","male","couple","no","no",NA,NA
"772","NAMUTUMBA","KIBAALE","NAWANGISA","KIRANGA A","female","male","no","no",NA,NA
"773","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA SOUTH","female","male","yes","yes",NA,NA
"774","BUGIRI","BUWUNGA","BUBUGO","KIRONGO","female","male","yes","yes",NA,NA
"775","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAKAZINGA","female","male","no","no",NA,NA
"776","NAMAYINGO","MUTUMBA","LUBIRA","SIMASE","female","male","yes","no",NA,NA
"777","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","KISEWUZI","female","male","yes","yes",NA,NA
"778","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI B","female","male","yes","yes",NA,NA
"779","NAMAYINGO","BUSWALE","NANSUMA","BUHWANJA","female","male","yes","no",NA,NA
"780","BUGIRI","BUDHAYA","BUDHAYA","KIWANDANGABO","female","male","yes","no",NA,NA
"781","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE B","female","male","yes","yes",NA,NA
"782","BUGIRI","BUDHAYA","BUKATU","BUBANGO","female","male","yes","no",NA,NA
"783","NAMUTUMBA","NSINZE","BUWONGO","CENTRAL BUNYAGWE","female","male","yes","yes",NA,NA
"784","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAMWENDA II","female","male","yes","no",NA,NA
"785","NAMUTUMBA","NSINZE","BUWONGO","MALIGA","female","male","yes","no",NA,NA
"786","NAMUTUMBA","NSINZE","NAWAIKONA","BUTAGALA","female","male","no","no",NA,NA
"787","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU A","female","male","no","no",NA,NA
"788","IGANGA","BULAMAGI","IWAWU","NTINDA","female","male","yes","yes",NA,NA
"789","MAYUGE","KITYERERA","NDAIGA","NAKIRIMIRA C","female","male","yes","yes",NA,NA
"790","NAMUTUMBA","MAGADA","KAGULU","NAMUSAYI","female","male","yes","no",NA,NA
"791","MAYUGE","BUKATUBE","BUYEMBA","MUGERI B","female","male","yes","no",NA,NA
"792","NAMAYINGO","MUTUMBA","LUBIRA","BUGALI B","female","male","yes","yes",NA,NA
"793","NAMAYINGO","BANDA","LUGALA","LUGALA A","female","male","yes","yes",NA,NA
"794","BUGIRI","KAPYANGA","NDIFAKULYA","NDIFAKULYA","female","male","yes","no",NA,NA
"795","IGANGA","IBULANKU","NSAALE","WANTE","female","male","no","no",NA,NA
"796","MAYUGE","KITYERERA","BUBINGE","BULIDHA","female","male","yes","yes",NA,NA
"797","NAMUTUMBA","MAGADA","KAGULU","NAKAWA","female","male","yes","yes",NA,NA
"798","MAYUGE","BAITAMBOGWE","IGEYERO","IGEYERO B","female","male","yes","no",NA,NA
"799","NAMAYINGO","BUYINJA","LWANGOSIA","SIBONDWE","female","male","yes","no",NA,NA
"800","IGANGA","BULAMAGI","IWAWU","NAWANKOFU","female","male","yes","no",NA,NA
"801","NAMUTUMBA","KIBAALE","NABWEYO","NABUGUZI","female","male","yes","no",NA,NA
"802","NAMUTUMBA","NAMUTUMBA","NAKYEERE","KASEDHERE A","female","male","yes","yes",NA,NA
"803","IGANGA","BUYANGA","BUWOOYA","BUDHUBYE","female","male","no","no",NA,NA
"804","IGANGA","BUYANGA","BUWOOYA","BUYANGA B","female","male","yes","yes",NA,NA
"805","IGANGA","BULAMAGI","IWAWU","KYEMEIRE","female","male","no","no",NA,NA
"806","BUGIRI","IWEMBA","IWEMBA","BULYAMBOLI","female","male","no","no",NA,NA
"807","NAMUTUMBA","KIBAALE","NABISOIGI","NAKYERE II","female","male","yes","no",NA,NA
"808","NAMAYINGO","BUYINJA","LWANGOSIA","BULOHA","female","male","no","no",NA,NA
"809","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","MPANDE","female","male","yes","yes",NA,NA
"810","IGANGA","MAKUUTU","KASOZI","BUSIMO","female","male","no","no",NA,NA
"811","NAMUTUMBA","KIBAALE","NAWANGISA","BUDWAPA B","female","male","yes","no",NA,NA
"812","NAMUTUMBA","NSINZE","BUWONGO","BUWONGO B","female","male","yes","yes",NA,NA
"813","IGANGA","MAKUUTU","KASOZI","BUNAKATE","female","male","yes","yes",NA,NA
"814","MAYUGE","KIGANDALO","KIGULU","NAMUGOLO","female","male","yes","no",NA,NA
"815","MAYUGE","IMANYIRO","MAGADA","WANTE","female","male","yes","no",NA,NA
"816","NAMUTUMBA","MAGADA","KAGULU","NAWAMBIRI","female","male","yes","yes",NA,NA
"817","MAYUGE","IMANYIRO","MAGADA","WALUGOGO","female","male","yes","yes",NA,NA
"818","MAYUGE","BUKATUBE","BUYEMBA","WALUKUBA","female","male","no","no",NA,NA
"819","IGANGA","MAKUUTU","MAKUUTU","BUSWIRIRI","female","male","yes","yes",NA,NA
"820","NAMAYINGO","BANDA","LUGALA","BUDALA A","female","male","yes","yes",NA,NA
"821","BUGIRI","BULUGUYI","MUWAYO","BUDUMA 'A'","female","male","yes","no",NA,NA
"822","MAYUGE","KIGANDALO","KIGULU","NSUMBA","female","male","yes","no",NA,NA
"823","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA IB","female","male","yes","no",NA,NA
"824","NAMUTUMBA","MAGADA","KAGULU","IZIMBA","female","male","no","no",NA,NA
"825","NAMAYINGO","BUSWALE","NANSUMA","MASODI B","female","male","no","no",NA,NA
"826","NAMUTUMBA","KIBAALE","NABISOIGI","NAWANDYO B","female","male","yes","yes",NA,NA
"827","MAYUGE","BUKABOOLI","BUKABOOLI","KIKUNYU","female","male","yes","no",NA,NA
"828","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","BUKALAMAISO","female","male","no","no",NA,NA
"829","BUGIRI","BUWUNGA","BUBUGO","NAMBOFA","female","male","no","no",NA,NA
"830","IGANGA","NAKIGO","WAIRAMA","IZIMBA","female","male","no","no",NA,NA
"831","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","NABIKOMO","female","male","yes","no",NA,NA
"832","BUGIRI","KAPYANGA","BUGUBO","BUKONDE A","female","male","yes","yes",NA,NA
"833","NAMUTUMBA","MAGADA","KAGULU","NABWEYO","female","male","yes","yes",NA,NA
"834","BUGIRI","KAPYANGA","BUGUBO","BUSANZI","female","male","yes","yes",NA,NA
"835","MAYUGE","BUKATUBE","BUYEMBA","MUGERI A","female","male","yes","yes",NA,NA
"836","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE A","female","male","yes","no",NA,NA
"837","NAMUTUMBA","KIBAALE","NAWANGISA","BUDWAPA A","female","male","no","no",NA,NA
"838","NAMAYINGO","MUTUMBA","LUBIRA","LUFUDU","female","male","yes","yes",NA,NA
"839","NAMUTUMBA","NAMUTUMBA","ITUBA","ITUBA C","female","male","yes","yes",NA,NA
"840","BUGIRI","BULUGUYI","MUWAYO","MUWAYO","female","male","no","no",NA,NA
"841","NAMAYINGO","BUYINJA","LWANGOSIA","LWANGOSIA EAST","female","male","no","no",NA,NA
"842","NAMAYINGO","BANDA","BUJWANGA","BUJWANGA EAST","female","male","yes","no",NA,NA
"843","IGANGA","MAKUUTU","KASOZI","BUKONDE","female","male","yes","yes",NA,NA
"844","MAYUGE","KITYERERA","NDAIGA","BUBALULE A","female","male","yes","no",NA,NA
"845","NAMUTUMBA","NSINZE","BUWONGO","BUYUNGA","female","male","no","no",NA,NA
"846","MAYUGE","BUKATUBE","BUYEMBA","BUYEMBA 'A'","female","male","no","no",NA,NA
"847","NAMUTUMBA","KIBAALE","NABISOIGI","BUGANDA","female","male","yes","yes",NA,NA
"848","IGANGA","NAKALAMA","NAKALAMA","BUKOBOOLI","female","male","yes","yes",NA,NA
"849","BUGIRI","BUDHAYA","BUDHAYA","BUDHAYA","female","male","no","no",NA,NA
"850","MAYUGE","BAITAMBOGWE","LUKONE","NAMAGERA","female","male","no","no",NA,NA
"851","IGANGA","BUYANGA","BUWOOYA","BUWOOYA B","female","male","no","no",NA,NA
"852","MAYUGE","KIGANDALO","KIGULU","NAMASAKA","female","male","yes","yes",NA,NA
"853","MAYUGE","BUKATUBE","BUYEMBA","BUKASERO A","female","male","yes","no",NA,NA
"854","MAYUGE","KIGANDALO","KIGULU","BUBBALYA","female","male","yes","yes",NA,NA
"855","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAMWENDA III","female","male","yes","no",NA,NA
"856","MAYUGE","BUKATUBE","LWANIKA","LUKINDU A","female","male","no","no",NA,NA
"857","MAYUGE","BUKABOOLI","BUKABOOLI","KALAGALA A","female","male","yes","no",NA,NA
"858","NAMUTUMBA","NSINZE","BUWONGO","SIIRA","female","male","no","no",NA,NA
"859","NAMUTUMBA","KIBAALE","NABWEYO","NABWEYO CENTRAL","female","male","yes","yes",NA,NA
"860","MAYUGE","IMANYIRO","MAGADA","LUYIRA","female","male","yes","yes",NA,NA
"861","NAMAYINGO","BANDA","BUJWANGA","BUJWANGA WEST","female","male","yes","yes",NA,NA
"862","MAYUGE","KIGANDALO","KIGULU","KIREWE","female","male","yes","yes",NA,NA
"863","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA NORTH","female","male","no","no",NA,NA
"864","NAMAYINGO","MUTUMBA","LUBIRA","BUGALI A","female","male","no","no",NA,NA
"865","IGANGA","NAWANDALA","KIWANYI","KIWANYI I","female","male","no","no",NA,NA
"866","NAMUTUMBA","MAGADA","KAGULU","LUZINGA","female","male","yes","no",NA,NA
"867","NAMUTUMBA","KIBAALE","NABISOIGI","BWANGU","female","male","yes","no",NA,NA
"868","NAMAYINGO","BANDA","LUTOLO","BUCHUNIA A","female","male","yes","no",NA,NA
"869","MAYUGE","BUKATUBE","LWANIKA","LUKINDU B","female","male","yes","no",NA,NA
"870","NAMUTUMBA","NAMUTUMBA","ITUBA","NAMUWONDO A","female","male","yes","yes",NA,NA
"871","MAYUGE","BAITAMBOGWE","LUKONE","LUKONE","female","male","no","no",NA,NA
"872","NAMAYINGO","BANDA","BUJWANGA","HALABA","female","male","no","no",NA,NA
"873","MAYUGE","KITYERERA","BUBINGE","KIKANDWA","female","male","no","no",NA,NA
"874","BUGIRI","BULUGUYI","MUWAYO","BUDUMA 'B'","female","male","yes","no",NA,NA
"875","IGANGA","NAKALAMA","NAKALAMA","BUKYAYE","female","male","yes","yes",NA,NA
"876","MAYUGE","KITYERERA","NDAIGA","NDAIGA C","female","male","yes","yes",NA,NA
"877","NAMAYINGO","MUTUMBA","LUBIRA","BUSIULA","female","male","no","no",NA,NA
"878","NAMUTUMBA","NSINZE","NAWAIKONA","NABITULUNTU","female","male","yes","yes",NA,NA
"879","NAMUTUMBA","NAMUTUMBA","NAKYEERE","NAKYERE","female","male","no","no",NA,NA
"880","NAMAYINGO","BUSWALE","NANSUMA","MASODI A","female","male","yes","yes",NA,NA
"881","NAMUTUMBA","KIBAALE","NABISOIGI","BUYINDA","female","male","yes","no",NA,NA
"882","NAMAYINGO","BANDA","BUJWANGA","NAMBANO","female","male","yes","no",NA,NA
"883","MAYUGE","BAITAMBOGWE","IGEYERO","MUKUTA","female","male","yes","no",NA,NA
"884","MAYUGE","KITYERERA","BUBINGE","BUBINGE","female","male","no","no",NA,NA
"885","BUGIRI","BULUGUYI","MUWAYO","MUDAWO","female","male","yes","no",NA,NA
"886","BUGIRI","NABUKALU","NKAIZA","KAKOGE","female","male","no","no",NA,NA
"887","MAYUGE","BUKATUBE","LWANIKA","BUKATUBE B","female","male","yes","no",NA,NA
"888","IGANGA","NAWANDALA","KIWANYI","MADHIMASU","female","male","no","no",NA,NA
"889","NAMUTUMBA","NAMUTUMBA","NAKYEERE","KASEDHERE B","female","male","yes","no",NA,NA
"890","BUGIRI","IWEMBA","IWEMBA","BUKIRI","female","male","no","no",NA,NA
"891","MAYUGE","BUKATUBE","LWANIKA","BUDHALA 'A'","female","male","no","no",NA,NA
"892","IGANGA","BULAMAGI","IWAWU","IWAWU","female","male","yes","yes",NA,NA
"893","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","NAKAVULE","female","male","yes","yes",NA,NA
"894","BUGIRI","BUWUNGA","BUBUGO","BUBUGO/BULIWAGULU","female","male","yes","no",NA,NA
"895","NAMUTUMBA","MAGADA","KIWANYI","KATENGELERE","female","male","yes","yes",NA,NA
"896","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","KIOGA","female","male","yes","no",NA,NA
"897","NAMUTUMBA","NAMUTUMBA","ITUBA","NAMUWONDO B","female","male","yes","no",NA,NA
"898","MAYUGE","BAITAMBOGWE","LUKONE","NSINDA","female","male","yes","no",NA,NA
"899","NAMUTUMBA","KIBAALE","NABWEYO","BUGAIZA","female","male","yes","yes",NA,NA
"900","MAYUGE","BUKABOOLI","BUKABOOLI","KALAGALA B","female","male","yes","yes",NA,NA
"901","NAMUTUMBA","KIBAALE","NABISOIGI","NAWANDYO A","female","male","yes","no",NA,NA
"902","BUGIRI","IWEMBA","IWEMBA","BUKANDA","female","male","yes","no",NA,NA
"903","NAMUTUMBA","NAMUTUMBA","ITUBA","ITUBA A","female","male","yes","yes",NA,NA
"904","IGANGA","NAKIGO","BUSOWOOBI","BUSOWOOBI CENTRAL","female","male","yes","yes",NA,NA
"905","NAMUTUMBA","KIBAALE","NAWANGISA","BUNYINKIRA","female","male","yes","no",NA,NA
"906","MAYUGE","KIGANDALO","KIGULU","KIGULU","female","male","yes","no",NA,NA
"907","BUGIRI","BUDHAYA","BUDHAYA","BUKEREKERE","female","male","no","no",NA,NA
"908","MAYUGE","WAIRASA","BUSUYI","BUSUYI","female","male","yes","yes",NA,NA
"909","IGANGA","NAMALEMBA","MINANI","NAKAMINI","female","male","no","no",NA,NA
"910","IGANGA","NAMALEMBA","MINANI","MINANI A","female","male","yes","yes",NA,NA
"911","NAMUTUMBA","NSINZE","BUWONGO","MALIGA TRADING CENTRE","female","male","yes","no",NA,NA
"912","MAYUGE","KITYERERA","NDAIGA","NAKIRIMIRA B","female","male","no","no",NA,NA
"913","BUGIRI","BULESA","BULUWE","BULUWE","female","male","yes","yes",NA,NA
"914","BUGIRI","BULESA","BULUWE","BUTEGWA A","female","male","no","no",NA,NA
"915","MAYUGE","BUKATUBE","LWANIKA","BUDHALA 'B'","female","male","yes","no",NA,NA
"916","IGANGA","BUYANGA","BULUNGULI","KIWANYI A","female","male","yes","yes",NA,NA
"917","NAMUTUMBA","NSINZE","BUWONGO","BUKOLO","female","male","yes","no",NA,NA
"918","NAMUTUMBA","NSINZE","NAWAIKONA","BUBINGA","female","male","yes","no",NA,NA
"919","NAMUTUMBA","KIBAALE","NABWEYO","MBOGO","female","male","yes","no",NA,NA
"920","BUGIRI","KAPYANGA","NAMUKONGE","BUGODO A","female","male","yes","no",NA,NA
"921","NAMAYINGO","BANDA","LUGALA","BUDALA B","female","male","no","no",NA,NA
"922","NAMUTUMBA","KIBAALE","NABISOIGI","NKWANZI","female","male","yes","no",NA,NA
"923","NAMUTUMBA","NSINZE","NAWAIKONA","KIVULE","female","male","yes","no",NA,NA
"924","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA NORTH","female","male","yes","yes",NA,NA
"925","NAMUTUMBA","KIBAALE","NABISOIGI","NABISOIGI II","female","male","yes","no",NA,NA
"926","NAMUTUMBA","KIBAALE","NAWANGISA","KAKOGE","female","male","no","no",NA,NA
"927","IGANGA","MAKUUTU","KASOZI","KASOZI A","female","male","no","no",NA,NA
"928","IGANGA","IBULANKU","NSAALE","NAKIBEMBE","female","male","yes","yes",NA,NA
"929","BUGIRI","KAPYANGA","BUGUBO","KAKANDWA","female","male","yes","no",NA,NA
"930","NAMAYINGO","BANDA","LUTOLO","SIROWA","female","male","yes","yes",NA,NA
"931","IGANGA","NAKIGO","BUSOWOOBI","NABITOVU","female","male","yes","no",NA,NA
"932","NAMAYINGO","BANDA","BUJWANGA","BUSIRO BEACH","female","male","no","no",NA,NA
"933","BUGIRI","BUWUNGA","BUBUGO","BUKEREWE","female","male","no","no",NA,NA
"934","NAMUTUMBA","KIBAALE","NABWEYO","BUNYEKERO","female","male","yes","no",NA,NA
"935","MAYUGE","BUKABOOLI","BUKABOOLI","BUKABOOLI","female","male","no","no",NA,NA
"936","BUGIRI","BUDHAYA","BUKATU","MAZIRIGA","female","male","yes","yes",NA,NA
"937","IGANGA","NAKIGO","WAIRAMA","KAKOMBO","female","male","yes","yes",NA,NA
"938","BUGIRI","KAPYANGA","NAMUKONGE","KAYANGO C","female","male","yes","yes",NA,NA
"939","NAMUTUMBA","NSINZE","BUWONGO","BUWONGO A","female","male","no","no",NA,NA
"940","IGANGA","NAMALEMBA","MINANI","BUKAKAIRE","female","male","yes","yes",NA,NA
"941","IGANGA","MAKUUTU","KASOZI","NAMAVUNDU","female","male","no","no",NA,NA
"942","IGANGA","MAKUUTU","KASOZI","KASOZI B","female","male","no","no",NA,NA
"943","IGANGA","MAKUUTU","KASOZI","BUKOWE","female","male","yes","yes",NA,NA
"944","BUGIRI","KAPYANGA","NAMUKONGE","BUGODO B","female","male","no","no",NA,NA
"945","MAYUGE","IMANYIRO","MAGADA","MAGADA","female","male","no","no",NA,NA
"946","NAMAYINGO","BANDA","LUTOLO","BUKOONA","female","male","no","no",NA,NA
"947","MAYUGE","BUKABOOLI","BUKABOOLI","NAMULWANA 'A'","female","male","yes","yes",NA,NA
"948","BUGIRI","BUDHAYA","BUDHAYA","NGULUMO","female","male","yes","no",NA,NA
"949","NAMUTUMBA","NSINZE","NAWAIKONA","BUKUDUMIRA","female","male","yes","yes",NA,NA
"950","BUGIRI","KAPYANGA","BUGUBO","BUGUBO","female","male","yes","no",NA,NA
"951","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA SOUTH","female","male","yes","no",NA,NA
"952","MAYUGE","KITYERERA","NDAIGA","NDAIGA A","female","male","yes","yes",NA,NA
"953","BUGIRI","BUDHAYA","BUKATU","BUDIBYA","female","male","yes","no",NA,NA
"954","NAMAYINGO","BANDA","LUGALA","LUGALA B","female","male","yes","yes",NA,NA
"955","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","BUDUMBA","female","male","no","no",NA,NA
"956","MAYUGE","BUKATUBE","LWANIKA","LWANIKA B","female","male","no","no",NA,NA
"957","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","LUKUNYU","female","male","yes","no",NA,NA
"958","NAMAYINGO","BUYINJA","LWANGOSIA","BUGAYA","female","male","no","no",NA,NA
"959","BUGIRI","BUDHAYA","BUKATU","KAWOLOGOMA","female","male","no","no",NA,NA
"960","MAYUGE","IMANYIRO","MAGADA","NAMAKAKALE","female","male","yes","yes",NA,NA
"961","NAMUTUMBA","KIBAALE","NABWEYO","LWAMBA","female","male","no","no",NA,NA
"962","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","KAZINGA","female","male","yes","no",NA,NA
"963","NAMAYINGO","BUYINJA","LWANGOSIA","NSANGO A","female","male","yes","yes",NA,NA
"964","NAMAYINGO","BANDA","LUTOLO","NANGERA A","female","male","yes","no",NA,NA
"965","MAYUGE","BAITAMBOGWE","IGEYERO","IGEYERO A","female","male","no","no",NA,NA
"966","BUGIRI","KAPYANGA","BUGUBO","NABYUNYU","female","male","yes","no",NA,NA
"967","NAMAYINGO","BUYINJA","LWANGOSIA","LWANGOSIA WEST","female","male","yes","yes",NA,NA
"968","BUGIRI","BULUGUYI","MUWAYO","BUTEMA","female","male","no","no",NA,NA
"969","MAYUGE","BUKATUBE","LWANIKA","LWANIKA A","female","male","yes","no",NA,NA
"970","NAMUTUMBA","KIBAALE","NABWEYO","BUSINI A","female","male","yes","yes",NA,NA
"971","NAMUTUMBA","KIBAALE","NABWEYO","NANVUNANWA","female","male","yes","yes",NA,NA
"972","MAYUGE","BUSAKIRA","MAUMU","MAUMU B","female","male","no","no",NA,NA
"973","IGANGA","BUYANGA","BUWOOYA","BUYANGA A","female","male","no","no",NA,NA
"974","IGANGA","NAWANDALA","KIWANYI","BUKYEEGA","female","male","yes","no",NA,NA
"975","NAMUTUMBA","MAGADA","KIWANYI","KIWANYI","female","male","yes","yes",NA,NA
"976","NAMAYINGO","BANDA","BUJWANGA","BUDUNGA WEST","female","male","no","no",NA,NA
"977","NAMUTUMBA","KIBAALE","NAWANGISA","KAVULE","female","male","no","no",NA,NA
"978","NAMUTUMBA","MAGADA","KAGULU","BUGIRI","female","male","yes","no",NA,NA
"979","NAMUTUMBA","NAMUTUMBA","NAKYEERE","BULYABWITA B","female","male","yes","no",NA,NA
"980","MAYUGE","BUKATUBE","LWANIKA","WAMONDO","female","male","no","no",NA,NA
"981","MAYUGE","WAIRASA","BUSUYI","BUSOWANIRE","female","male","yes","yes",NA,NA
"982","NAMAYINGO","BANDA","LUTOLO","LUTOLO B","female","male","yes","no",NA,NA
"983","MAYUGE","KIGANDALO","KIGULU","BUYAGA","female","male","yes","no",NA,NA
"984","NAMAYINGO","BANDA","BUJWANGA","BUBANGI","female","male","no","no",NA,NA
"985","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA II","female","male","yes","yes",NA,NA
"986","IGANGA","IBULANKU","NSAALE","NAKASUBI","female","male","yes","no",NA,NA
"987","NAMUTUMBA","MAGADA","KAGULU","NABIGALATA","female","male","yes","yes",NA,NA
"988","NAMUTUMBA","MAGADA","KIWANYI","NABIYUNGI","female","male","yes","no",NA,NA
"989","NAMUTUMBA","MAGADA","KAGULU","KISYAIKE","female","male","no","no",NA,NA
"990","BUGIRI","KAPYANGA","NAMUKONGE","BUKAYE B","female","male","no","no",NA,NA
"991","IGANGA","MAKUUTU","KASOZI","NONDWE","female","male","no","no",NA,NA
"992","IGANGA","BULAMAGI","IWAWU","NAMASOGA","female","male","yes","yes",NA,NA
"993","IGANGA","MAKUUTU","KASOZI","WAIBALE","female","male","yes","no",NA,NA
"994","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA I","female","male","yes","no",NA,NA
"995","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","MAKUUTU","female","male","no","no",NA,NA
"996","NAMUTUMBA","NSINZE","NAWAIKONA","WALUMBO","female","male","yes","no",NA,NA
"997","BUGIRI","BUDHAYA","BUDHAYA","BUMWANGU","female","male","yes","no",NA,NA
"998","IGANGA","BUYANGA","BUWOOYA","BUWOOYA A","female","male","yes","no",NA,NA
"999","MAYUGE","WAIRASA","BUSUYI","BUYEMBA","female","male","yes","yes",NA,NA
"1000","NAMAYINGO","BUSWALE","NANSUMA","NANSUMA A","female","male","yes","no",NA,NA
"1001","NAMAYINGO","BUSWALE","NANSUMA","SIJAGAJO A","female","male","yes","no",NA,NA
"1002","NAMUTUMBA","NSINZE","BUWONGO","BUNYAGWE","female","male","yes","no",NA,NA
"1003","NAMAYINGO","BUSWALE","NANSUMA","NANSUMA B","female","male","yes","yes",NA,NA
"1004","IGANGA","BUYANGA","BULUNGULI","KIWANYI B","female","male","no","no",NA,NA
"1005","IGANGA","NAMALEMBA","MINANI","MINANI B","female","male","yes","yes",NA,NA
"1006","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA CENTRAL","female","male","yes","no",NA,NA
"1007","IGANGA","BUYANGA","BUWOOYA","NASILARO","female","male","yes","no",NA,NA
"1008","BUGIRI","KAPYANGA","NDIFAKULYA","BUKAYE","female","male","yes","yes",NA,NA
"1009","MAYUGE","BUKATUBE","LWANIKA","BUTIMBWA","female","male","yes","yes",NA,NA
"1010","MAYUGE","IMANYIRO","MAGADA","NAMADUDU","female","male","no","no",NA,NA
"1011","BUGIRI","BULUGUYI","MUWAYO","NAKAWA","female","male","yes","no",NA,NA
"1012","NAMAYINGO","BUSWALE","NANSUMA","BUMOLI A","female","male","no","no",NA,NA
"1013","IGANGA","BUYANGA","BUWOOYA","BUYIRIMA","female","male","yes","no",NA,NA
"1014","NAMUTUMBA","KIBAALE","NABWEYO","BUDATU","female","male","yes","yes",NA,NA
"1015","MAYUGE","BUKABOOLI","BUKABOOLI","NAMULWANA 'B'","female","male","yes","yes",NA,NA
"1016","IGANGA","NAMALEMBA","MINANI","NABITENDE","female","male","yes","yes",NA,NA
"1017","NAMUTUMBA","MAGADA","KIWANYI","NAWANSEKESE","female","male","yes","yes",NA,NA
"1018","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI A","female","male","yes","yes",NA,NA
"1019","BUGIRI","BULESA","BULUWE","MALENDELE","female","male","no","no",NA,NA
"1020","NAMAYINGO","BANDA","BUJWANGA","BUDUNGA EAST","female","male","yes","yes",NA,NA
"1021","IGANGA","BUYANGA","BUWOOYA","BUYANGA C","female","male","yes","no",NA,NA
"1022","MAYUGE","BUKATUBE","LWANIKA","KASONZI","female","male","no","no",NA,NA
"1023","NAMUTUMBA","NSINZE","NAWAIKONA","BUKEBWE","female","male","yes","no",NA,NA
"1024","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU B","female","male","yes","yes",NA,NA
"1025","NAMAYINGO","BANDA","LUTOLO","NANGERA B","female","male","no","no",NA,NA
"1026","NAMUTUMBA","NSINZE","NAWAIKONA","NABIKENGE","female","male","yes","yes",NA,NA
"1027","NAMUTUMBA","MAGADA","KAGULU","KAWANAMO","female","male","yes","yes",NA,NA
"1028","NAMUTUMBA","NSINZE","NAWAIKONA","NAWAIKONA ''B'","female","male","yes","yes",NA,NA
"1029","NAMUTUMBA","KIBAALE","NAWANGISA","KIRANGA A","female","female","no","no",NA,NA
"1030","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA SOUTH","female","female","yes","no",NA,NA
"1031","BUGIRI","BUWUNGA","BUBUGO","KIRONGO","female","female","yes","no",NA,NA
"1032","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAKAZINGA","female","female","yes","yes",NA,NA
"1033","NAMAYINGO","MUTUMBA","LUBIRA","SIMASE","female","female","no","no",NA,NA
"1034","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","KISEWUZI","female","female","yes","yes",NA,NA
"1035","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI B","female","female","no","no",NA,NA
"1036","NAMAYINGO","BUSWALE","NANSUMA","BUHWANJA","female","female","yes","no",NA,NA
"1037","BUGIRI","BUDHAYA","BUDHAYA","KIWANDANGABO","female","female","no","no",NA,NA
"1038","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE B","female","female","yes","yes",NA,NA
"1039","BUGIRI","BUDHAYA","BUKATU","BUBANGO","female","female","yes","no",NA,NA
"1040","NAMUTUMBA","NSINZE","BUWONGO","CENTRAL BUNYAGWE","female","female","no","no",NA,NA
