"","hhid","femalehead","enumerator","date","hh_type","grow_maize","hh_yes","recipient","consent","maizeeduc","maizeage","maizehh_no","maizedist_shop","maizearea_cultivation","maizebags_harv","maizepralready_plant","maizeprinfo_receiv","maizeprinfo_receiv_spouse","maizeprinput_use","maizeprwall","maizeprrooms","maizeprearn","maizevideo_shown","maizeoptimal_spacing","maizeq22","maizeq23","maizemobile","maizemobile_access","maizeq26","maizeq27","maizeivr","maizeinside_outside","maizedisturbed","maizeeduc_spouse","maizeage_spouse","vilID","subID","distID"
"617","HH2644",0,15,"2017-08-19","Yes","Yes","Yes","male","Yes",2,47,10,3,1.5,4,"Yes","No","No","Yes",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,40,19,6,1
"618","HH2729",0,12,"2017-08-19","Yes","Yes","Yes","female","Yes",2,30,7,5,1.5,4,"Yes","No","No","No",1,3,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,32,19,6,1
"619","HH2814",0,12,"2017-08-19","Yes","Yes","No","couple","Yes",3,30,4,5,2,5,"Yes","No","No","No",2,3,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,21,19,6,1
"620","HH2899",0,15,"2017-08-19","Yes","Yes","No","male","Yes",2,37,11,3,1,3,"Yes","Yes","No","Yes",3,4,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,999,19,6,1
"621","HH2984",0,12,"2017-08-19","Yes","Yes","No","female","Yes",1,46,12,5,2,3,"Yes","No","Yes","No",3,1,"No","female","a","d","b","Yes",NA,NA,"1","yes","Outside","No",2,999,19,6,1
"622","HH3069",0,12,"2017-08-19","Yes","Yes","Yes","couple","Yes",3,30,8,5,2,4,"Yes","No","Yes","Yes",1,4,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,34,19,6,1
"623","HH3154",0,12,"2017-08-19","Yes","Yes","Yes","male","Yes",1,32,7,5,2.5,0.5,"Yes","No","No","No",3,1,"No","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,999,19,6,1
"624","HH3239",0,12,"2017-08-19","Yes","Yes","No","female","Yes",2,33,11,5,2,6,"Yes","No","No","No",1,3,"No","couple","b","b","b","Yes",NA,NA,"1","yes","Outside","No",4,60,19,6,1
"625","HH3324",0,12,"2017-08-19","Yes","Yes","No","couple","Yes",2,52,6,5,5,0.5,"Yes","No","No","Yes",3,1,"No","couple","a","c","b","Yes",NA,NA,"1","no","Outside","Yes",2,40,19,6,1
"626","FH567",1,16,"2017-08-19","Yes","Yes","Yes",NA,"Yes",2,49,8,5,0.5,0,"Yes","No","No","No",1,3,"Yes","female","b","c","b","Yes",NA,NA,"1","no","Outside","No",NA,NA,20,6,1
"627","HH1223",0,5,"2017-08-19","Yes","Yes","Yes","female","Yes",2,42,9,4,0.5,1,"Yes","No","No","Yes",1,2,"No","female","d","d","b","No","No",NA,NA,"yes","Outside","No",2,50,20,6,1
"628","HH1480",0,6,"2017-08-19","Yes","Yes","Yes","couple","Yes",3,47,11,5,1,0.100000001490116,"No","No","No","Yes",1,3,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","Yes",1,40,20,6,1
"629","HH1737",0,6,"2017-08-19","Yes","Yes","Yes","male","Yes",4,37,7,3,1,1,"Yes","No","No","Yes",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",4,32,20,6,1
"630","HH195",0,7,"2017-08-19","Yes","Yes","Yes","male","Yes",2,32,7,2,1,0.699999988079071,"Yes","No","No","No",1,2,"Yes","male","a","c","c","Yes",NA,NA,"1","yes","Outside","No",2,24,20,6,1
"631","HH1994",0,16,"2017-08-19","Yes","Yes","Yes","female","Yes",2,18,4,6,1,2,"No","No","No","No",1,1,"Yes","couple","b","a","b","Yes",NA,NA,"1","yes","Outside","No",2,20,20,6,1
"632","HH2251",0,7,"2017-08-19","Yes","Yes","Yes","couple","Yes",2,67,12,2,2,0.200000002980232,"Yes","No","No","No",1,3,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,58,20,6,1
"633","HH2508",0,4,"2017-08-19","Yes","Yes","Yes","female","Yes",3,18,5,10,0.5,3,"Yes","No","Yes","No",4,1,"Yes","ctrl","c","c","b","Yes",NA,NA,"1","no","Outside","No",4,22,20,6,1
"634","HH452",0,7,"2017-08-19","Yes","Yes","No","female","Yes",4,50,11,2,2,4,"Yes","No","No","No",1,1,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",5,55,20,6,1
"635","HH709",0,4,"2017-08-19","Yes","Yes","Yes","couple","Yes",2,30,8,10,1.5,1.60000002384186,"No","No","No","No",3,3,"Yes","male","b","b","b","No","Yes","Yes","1","yes","Outside","No",1,30,20,6,1
"636","HH966",0,5,"2017-08-19","Yes","Yes","Yes","male","Yes",2,25,11,3,1,3,"Yes","No","No","Yes",3,2,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,22,20,6,1
"637","FH577",1,15,"2017-08-16","Yes","Yes","Yes",NA,"Yes",1,40,7,1,0.5,0.300000011920929,"Yes","No","No","No",1,3,"No","female","a","c","b","No","No",NA,NA,"no","Outside","No",NA,NA,21,6,1
"638","HH1051",0,12,"2017-08-16","Yes","Yes","Yes","female","Yes",2,22,5,1,0.5,0.200000002980232,"Yes","No","No","No",1,1,"Yes","female","a","c","a","Yes",NA,NA,"1","no","Outside","No",1,26,21,6,1
"639","HH1308",0,12,"2017-08-16","Yes","Yes","No","couple","Yes",3,62,5,0,0.5,1,"Yes","No","Yes","Yes",1,2,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,49,21,6,1
"640","HH1565",0,15,"2017-08-16","Yes","Yes","No","male","Yes",1,43,10,1,1,1,"Yes","No","No","No",1,3,"No","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,30,21,6,1
"641","HH1822",0,15,"2017-08-16","Yes","Yes","Yes","female","Yes",1,55,9,1,2,2,"Yes","No","No","No",1,3,"No","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,999,21,6,1
"642","HH2079",0,1,"2017-08-16","Yes","Yes","No","couple","Yes",4,29,3,2,0.5,3,"Yes","No","No","Yes",1,1,"Yes","couple","a","c","a","Yes",NA,NA,"1","no","Inside","No",2,21,21,6,1
"643","HH23",0,12,"2017-08-16","Yes","Yes","No","male","Yes",5,37,5,1,2,20,"Yes","No","No","Yes",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,32,21,6,1
"644","HH2336",0,15,"2017-08-16","Yes","Yes","Yes","female","Yes",2,36,7,1,1,3,"Yes","No","Yes","Yes",1,2,"Yes","ctrl","b","c","b","Yes",NA,NA,"1","no","Outside","No",4,45,21,6,1
"645","HH280",0,12,"2017-08-16","Yes","Yes","Yes","female","Yes",4,20,3,0,1.5,1,"Yes","No","Yes","Yes",1,1,"Yes","male","a","c","c","Yes",NA,NA,"1","yes","Outside","No",4,27,21,6,1
"646","HH537",0,15,"2017-08-16","Yes","Yes","No","couple","Yes",6,29,5,1,2.5,0.600000023841858,"Yes","No","No","No",1,1,"No","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",4,30,21,6,1
"647","HH794",0,12,"2017-08-16","Yes","Yes","Yes","male","Yes",2,54,7,0,1,2,"Yes","No","Yes","No",1,2,"No","female","a","c","b","No","No",NA,NA,"yes","Outside","No",2,999,21,6,1
"648","FH587",1,16,"2017-08-18","Yes","Yes","Yes",NA,"Yes",2,55,8,10,2,2,"Yes","No","No","No",1,3,"No","female","b","c","a","Yes",NA,NA,"1","yes","Outside","No",NA,NA,1,7,1
"649","HH2577",0,6,"2017-08-18","Yes","Yes","Yes","male","Yes",2,32,7,13,1.5,5,"Yes","No","No","No",1,3,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Inside","No",3,22,1,7,1
"650","HH2662",0,6,"2017-08-18","Yes","Yes","Yes","female","Yes",2,30,8,13,1,1,"Yes","No","No","No",3,2,"Yes","male","a","c","b","No","No",NA,NA,"yes","Outside","Yes",2,38,1,7,1
"651","HH2747",0,6,"2017-08-18","Yes","Yes","Yes","couple","Yes",4,34,6,13,1,6,"No","No","No","No",3,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Inside","No",2,27,1,7,1
"652","HH2832",0,16,"2017-08-18","Yes","Yes","Yes","male","Yes",2,30,5,10,2.5,7,"No","No","No","No",1,1,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,27,1,7,1
"653","HH2917",0,6,"2017-08-18","Yes","Yes","Yes","female","Yes",1,32,6,13,2,0.300000011920929,"Yes","No","No","No",3,2,"Yes","female","b","c","b","No","Yes","Yes","1","no","Outside","No",2,41,1,7,1
"654","HH3002",0,6,"2017-08-18","Yes","Yes","No","couple","Yes",2,44,10,13,2,28,"No","No","No","No",1,3,"No","female","a","c","b","Yes",NA,NA,"1","no","Inside","No",2,40,1,7,1
"655","HH3087",0,6,"2017-08-18","Yes","Yes","Yes","male","Yes",1,999,6,13,2,2,"Yes","No","No","No",1,1,"Yes","couple","b","c","b","No","No",NA,NA,"yes","Inside","No",2,999,1,7,1
"656","HH3172",0,6,"2017-08-18","Yes","Yes","Yes","female","Yes",2,43,10,13,2,1,"No","No","No","No",1,3,"No","couple","a","c","b","Yes",NA,NA,"1","yes","Inside","No",3,49,1,7,1
"657","HH3257",0,6,"2017-08-18","Yes","Yes","Yes","couple","Yes",3,35,6,13,3,15,"No","No","No","No",3,1,"Yes","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",3,28,1,7,1
"658","FH596",1,16,"2017-08-18","Yes","Yes","Yes",NA,"Yes",2,58,6,10,1,0.300000011920929,"Yes","No","No","No",1,2,"Yes","male","a","c","b","No","No",NA,NA,"yes","Outside","No",NA,NA,2,7,1
"659","HH2586",0,5,"2017-08-18","Yes","Yes","Yes","male","Yes",3,55,7,13,4,9,"Yes","No","No","Yes",1,6,"No","male","b","c","b","Yes",NA,NA,"1","yes","Outside","No",2,37,2,7,1
"660","HH2671",0,5,"2017-08-18","Yes","Yes","Yes","female","Yes",1,45,10,9,1.5,8,"Yes","Yes","No","Yes",1,3,"No","male","b","c","b","No","No",NA,NA,"yes","Outside","No",2,52,2,7,1
"661","HH2756",0,5,"2017-08-18","Yes","Yes","Yes","couple","Yes",1,46,9,10,1,2,"Yes","No","No","No",1,6,"Yes","male","a","b","b","Yes",NA,NA,"1","yes","Outside","No",1,35,2,7,1
"662","HH2841",0,5,"2017-08-18","Yes","Yes","Yes","male","Yes",2,29,6,8,2,6,"Yes","No","No","No",1,3,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,26,2,7,1
"663","HH2926",0,5,"2017-08-18","Yes","Yes","No","female","Yes",2,23,7,11,1,8,"Yes","No","No","Yes",1,4,"Yes","female","a","a","b","Yes",NA,NA,"1","no","Outside","No",2,23,2,7,1
"664","HH3011",0,5,"2017-08-18","Yes","Yes","Yes","couple","Yes",2,55,10,9,1,5,"Yes","Yes","Yes","Yes",1,5,"Yes","female","b","d","b","Yes",NA,NA,"1","yes","Outside","No",1,50,2,7,1
"665","HH3096",0,5,"2017-08-18","Yes","Yes","Yes","male","Yes",2,30,6,7,0.5,1,"Yes","Yes","Yes","Yes",1,2,"Yes","couple","b","c","b","No","No",NA,NA,"no","Outside","No",2,28,2,7,1
"666","HH3181",0,5,"2017-08-18","Yes","Yes","Yes","female","Yes",2,41,9,8,2,2.5,"No","Yes","No","No",1,6,"No","couple","a","b","b","Yes",NA,NA,"1","no","Outside","No",5,44,2,7,1
"667","HH3266",0,5,"2017-08-18","Yes","Yes","No","couple","Yes",4,64,7,8,1.5,3,"Yes","No","No","Yes",1,4,"No","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,55,2,7,1
"668","FH605",1,16,"2017-08-18","Yes","Yes","No",NA,"Yes",1,999,1,0,1,1,"Yes","No","No","No",1,1,"Yes","male","a","b","d","No","No",NA,NA,"no","Outside","No",NA,NA,3,7,1
"669","HH2607",0,9,"2017-08-18","Yes","Yes","No","male","Yes",2,48,12,8,2,3,"Yes","No","Yes","Yes",1,5,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,46,3,7,1
"670","HH2692",0,9,"2017-08-18","Yes","Yes","Yes","female","Yes",2,22,10,3,9,7,"Yes","No","No","No",3,6,"Yes","male","a","c","a","No","No",NA,NA,"yes","Outside","No",4,29,3,7,1
"671","HH2777",0,7,"2017-08-18","Yes","Yes","Yes","couple","Yes",2,35,10,8,2,0.5,"Yes","No","No","Yes",3,2,"No","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,32,3,7,1
"672","HH2862",0,9,"2017-08-18","Yes","Yes","Yes","male","Yes",1,31,11,2,3,8,"Yes","No","No","Yes",1,5,"No","female","a","c","b","No","No",NA,NA,"no","Outside","No",2,22,3,7,1
"673","HH2947",0,16,"2017-08-18","Yes","Yes","Yes","female","Yes",1,999,5,8,0.75,1,"Yes","No","No","No",3,2,"Yes","female","a","a","c","No","No",NA,NA,"yes","Outside","No",2,999,3,7,1
"674","HH3032",0,7,"2017-08-18","Yes","Yes","No","couple","Yes",2,69,9,8,1,1,"Yes","No","No","No",1,1,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,35,3,7,1
"675","HH3117",0,9,"2017-08-18","Yes","Yes","Yes","male","Yes",2,23,7,4,1,2,"Yes","Yes","Yes","No",3,2,"Yes","couple","a","c","b","No","No",NA,NA,"yes","Outside","No",2,23,3,7,1
"676","HH3202",0,7,"2017-08-18","Yes","Yes","Yes","female","Yes",2,23,4,6,2.5,8,"Yes","No","Yes","Yes",3,1,"No","couple","a","c","b","No","No",NA,NA,"no","Outside","No",2,999,3,7,1
"677","HH3287",0,7,"2017-08-18","Yes","Yes","Yes","couple","Yes",4,22,3,8,1,2,"Yes","No","No","Yes",3,1,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,18,3,7,1
"678","FH614",1,16,"2017-08-18","Yes","Yes","Yes",NA,"Yes",1,35,5,10,1,1,"Yes","No","No","No",1,1,"Yes","male","a","c","c","Yes",NA,NA,"2","no","Outside","No",NA,NA,4,7,1
"679","HH1143",0,4,"2017-08-18","Yes","Yes","Yes","female","Yes",3,47,8,12,3,9,"Yes","No","No","Yes",1,3,"Yes","female","a","c","a","Yes",NA,NA,"1","yes","Outside","Yes",5,50,4,7,1
"680","HH115",0,6,"2017-08-18","Yes","Yes","Yes","male","Yes",4,32,6,12,1.5,3,"No","No","No","No",3,1,"Yes","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,22,4,7,1
"681","HH1400",0,4,"2017-08-18","Yes","Yes","No","couple","Yes",2,60,10,11,2,9.5,"Yes","No","No","Yes",1,2,"No","female","a","c","a","Yes",NA,NA,"1","yes","Outside","Yes",2,45,4,7,1
"682","HH1657",0,4,"2017-08-18","Yes","Yes","Yes","male","Yes",2,34,8,12,3,20,"Yes","No","No","Yes",3,3,"No","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","Yes",2,32,4,7,1
"683","HH1914",0,4,"2017-08-18","Yes","Yes","Yes","female","Yes",2,37,10,11,1,2,"Yes","No","No","No",1,2,"No","couple","a","a","a","Yes",NA,NA,"1","yes","Outside","Yes",2,39,4,7,1
"684","HH2171",0,6,"2017-08-18","Yes","Yes","Yes","couple","Yes",6,50,5,12,1.5,6,"Yes","No","No","No",1,3,"Yes","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",6,43,4,7,1
"685","HH2428",0,4,"2017-08-18","Yes","Yes","Yes","female","Yes",4,31,7,5,2,7,"Yes","No","No","No",1,2,"No","ctrl","c","c","b","Yes",NA,NA,"1","no","Outside","Yes",3,38,4,7,1
"686","HH372",0,4,"2017-08-18","Yes","Yes","Yes","female","Yes",2,26,8,11,2,4,"Yes","No","No","No",1,1,"No","male","a","c","a","Yes",NA,NA,"1","yes","Outside","No",2,46,4,7,1
"687","HH629",0,6,"2017-08-18","Yes","Yes","Yes","couple","Yes",5,36,6,12,1,1,"No","Yes","No","Yes",3,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,26,4,7,1
"688","HH886",0,7,"2017-08-18","Yes","Yes","Yes","male","Yes",4,27,7,8,1.5,4.5,"Yes","No","No","No",3,1,"No","female","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,21,4,7,1
"689","FH624",1,16,"2017-08-05","Yes","Yes","Yes",NA,"Yes",6,53,6,1,0.5,2,"Yes","No","Yes","Yes",1,3,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Inside","No",NA,NA,1,1,2
"690","HH3336",0,9,"2017-08-05","Yes","Yes","Yes","male","Yes",6,42,3,2,1,1.5,"Yes","No","No","No",1,1,"Yes","male","b","c","b","Yes",NA,NA,"1","yes","Outside","No",4,35,1,1,2
"691","HH3363",0,9,"2017-08-05","Yes","Yes","No","female","Yes",6,39,9,0,1,7,"Yes","No","Yes","No",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","Yes",6,50,1,1,2
"692","HH3390",0,9,"2017-08-05","Yes","Yes","Yes","male","Yes",6,35,4,4,4,12,"No","No","Yes","Yes",1,2,"Yes","female","b","c","a","Yes",NA,NA,"1","no","Outside","No",6,34,1,1,2
"693","HH3417",0,9,"2017-08-05","Yes","Yes","No","female","Yes",4,42,7,1,1,4,"Yes","No","Yes","Yes",1,3,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",6,45,1,1,2
"694","HH3444",0,9,"2017-08-05","Yes","Yes","No","male","Yes",6,38,8,3,3,20,"Yes","Yes","Yes","Yes",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",6,37,1,1,2
"695","HH3471",0,9,"2017-08-05","Yes","Yes","Yes","female","Yes",2,41,5,2,0.5,3,"Yes","No","Yes","Yes",1,1,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",6,46,1,1,2
"696","HH3498",0,9,"2017-08-05","Yes","Yes","Yes","couple","Yes",6,51,10,2,1,7,"Yes","No","Yes","Yes",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Inside","Yes",4,48,1,1,2
"697","FH631",1,16,"2017-08-05","Yes","Yes","Yes",NA,"Yes",4,50,6,3,0.324000000953674,3,"Yes","Yes","Yes","Yes",1,2,"Yes","male","b","c","b","Yes",NA,NA,"1","no","Outside","No",NA,NA,2,1,2
"698","HH1149",0,7,"2017-08-05","Yes","Yes","Yes","female","Yes",2,47,7,7,1,3.5,"Yes","No","No","No",1,5,"Yes","female","b","b","a","Yes",NA,NA,"1","no","Outside","No",5,999,2,1,2
"699","HH121",0,6,"2017-08-05","Yes","Yes","No","male","Yes",2,40,15,3,1.5,4,"No","No","No","Yes",1,5,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,39,2,1,2
"700","HH1406",0,7,"2017-08-05","Yes","Yes","No","couple","Yes",2,46,15,7,1.5,5,"Yes","No","No","Yes",1,3,"Yes","female","c","c","b","Yes",NA,NA,"1","yes","Outside","No",2,40,2,1,2
"701","HH1663",0,6,"2017-08-05","Yes","Yes","Yes","male","Yes",6,29,8,2,3,16,"No","No","Yes","Yes",1,3,"Yes","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",6,25,2,1,2
"702","HH1920",0,6,"2017-08-05","Yes","Yes","No","female","Yes",3,34,8,2,0.5,3,"Yes","No","No","No",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",5,46,2,1,2
"703","HH2177",0,6,"2017-08-05","Yes","Yes","No","couple","Yes",3,62,5,3,0.5,4,"Yes","No","No","Yes",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,60,2,1,2
"704","HH2434",0,6,"2017-08-05","Yes","Yes","No","male","Yes",2,60,9,3,1,3,"No","No","No","No",1,4,"No","ctrl","c","c","b","Yes",NA,NA,"1","no","Outside","No",3,999,2,1,2
"705","HH378",0,6,"2017-08-05","Yes","Yes","Yes","female","Yes",6,24,5,3,0.5,1.5,"Yes","No","No","Yes",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",6,36,2,1,2
"706","HH635",0,7,"2017-08-05","Yes","Yes","Yes","couple","Yes",4,57,9,7,1.5,3.5,"No","No","No","No",1,3,"Yes","male","c","c","b","Yes",NA,NA,"1","yes","Outside","No",2,52,2,1,2
"707","HH892",0,6,"2017-08-05","Yes","Yes","Yes","male","Yes",2,63,9,3,1,2.5,"Yes","No","No","Yes",1,4,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,999,2,1,2
"708","FH641",1,16,"2017-08-05","Yes","Yes","Yes",NA,"Yes",1,73,5,5,1,2,"No","No","No","No",1,2,"Yes","female","b","c","b","No","No",NA,NA,"yes","Outside","No",NA,NA,3,1,2
"709","HH1062",0,4,"2017-08-05","Yes","Yes","Yes","female","Yes",2,53,3,11,0.5,4,"No","No","No","Yes",1,3,"No","female","a","c","b","No","Yes","Yes","1","no","Outside","No",4,70,3,1,2
"710","HH1319",0,16,"2017-08-05","Yes","Yes","Yes","couple","Yes",4,32,9,5,0.5,3,"No","No","No","Yes",1,3,"Yes","female","c","b","b","Yes",NA,NA,"1","no","Outside","No",3,30,3,1,2
"711","HH1576",0,5,"2017-08-05","Yes","Yes","Yes","male","Yes",2,20,3,4,0.400000005960464,0.5,"Yes","No","Yes","Yes",2,1,"Yes","couple","b","c","b","No","Yes","Yes","1","yes","Outside","No",2,18,3,1,2
"712","HH1833",0,5,"2017-08-05","Yes","Yes","Yes","female","Yes",2,51,10,4,0.5,1.5,"Yes","No","No","No",1,3,"No","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",4,52,3,1,2
"713","HH2090",0,5,"2017-08-05","Yes","Yes","Yes","couple","Yes",1,40,6,5,0.5,0.5,"No","No","No","No",1,2,"Yes","couple","d","a","b","No","No",NA,NA,"yes","Outside","No",2,50,3,1,2
"714","HH2347",0,4,"2017-08-05","Yes","Yes","Yes","couple","Yes",1,75,2,11,1.5,9.5,"Yes","No","No","No",1,2,"Yes","ctrl","b","d","b","No","Yes","Yes","1","no","Outside","No",1,35,3,1,2
"715","HH291",0,4,"2017-08-05","Yes","Yes","Yes","female","Yes",2,23,5,2,0.5,2,"Yes","Yes","Yes","Yes",2,2,"Yes","male","a","a","a","Yes",NA,NA,"1","no","Outside","Yes",3,26,3,1,2
"716","HH34",0,16,"2017-08-05","Yes","Yes","Yes","male","Yes",2,53,9,4,0.5,2,"Yes","No","No","No",3,2,"No","male","b","b","b","Yes",NA,NA,"1","no","Outside","No",2,39,3,1,2
"717","HH548",0,4,"2017-08-05","Yes","Yes","Yes","couple","Yes",3,50,4,11,1,2,"Yes","No","No","Yes",1,3,"No","male","b","c","a","No","No",NA,NA,"yes","Outside","No",2,61,3,1,2
"718","HH805",0,5,"2017-08-05","Yes","Yes","Yes","male","Yes",2,57,8,4,0.5,3,"Yes","No","No","No",1,3,"No","female","b","c","b","No","No",NA,NA,"no","Outside","No",1,45,3,1,2
"719","FH651",1,16,"2017-08-05","Yes","Yes","Yes",NA,"Yes",4,40,4,3,0.5,0.400000005960464,"Yes","Yes","No","No",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","no","Outside","Yes",NA,NA,4,1,2
"720","HH2645",0,6,"2017-08-05","Yes","Yes","Yes","male","Yes",4,51,18,5,2,12,"No","No","Yes","Yes",1,6,"Yes","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,35,4,1,2
"721","HH2730",0,6,"2017-08-05","Yes","Yes","Yes","female","Yes",3,28,6,4,1,5,"No","No","Yes","Yes",1,3,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",5,30,4,1,2
"722","HH2815",0,6,"2017-08-05","Yes","Yes","Yes","couple","Yes",2,35,7,5,0.5,2,"No","No","No","No",3,2,"No","male","a","c","b","No","Yes","No",NA,"yes","Outside","Yes",2,31,4,1,2
"723","HH2900",0,6,"2017-08-05","Yes","Yes","Yes","male","Yes",2,52,10,4,1,4,"No","No","Yes","Yes",1,3,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,999,4,1,2
"724","HH2985",0,6,"2017-08-05","Yes","Yes","Yes","female","Yes",3,28,7,5,1.75,6,"No","No","No","No",1,2,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","Yes",3,36,4,1,2
"725","HH3070",0,6,"2017-08-05","Yes","Yes","Yes","couple","Yes",2,37,6,5,0.25,1.5,"No","No","Yes","Yes",3,2,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,40,4,1,2
"726","HH3155",0,6,"2017-08-05","Yes","Yes","Yes","male","Yes",6,999,6,5,3,16,"No","No","Yes","Yes",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","Yes",2,45,4,1,2
"727","HH3240",0,6,"2017-08-05","Yes","Yes","Yes","female","Yes",5,19,3,5,0.5,3.5,"Yes","No","Yes","Yes",1,1,"Yes","couple","b","c","b","Yes",NA,NA,"1","no","Outside","Yes",5,29,4,1,2
"728","HH3325",0,6,"2017-08-05","Yes","Yes","No","couple","Yes",3,52,6,4,1,3,"Yes","No","No","No",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,50,4,1,2
"729","FH660",1,16,"2017-08-05","Yes","Yes","Yes",NA,"Yes",2,56,4,5,1,6,"Yes","No","Yes","Yes",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",NA,NA,5,1,2
"730","HH3345",0,4,"2017-08-05","Yes","Yes","Yes","male","Yes",3,25,3,7,0.5,2,"Yes","No","No","No",3,1,"Yes","male","a","c","a","Yes",NA,NA,"1","yes","Outside","No",4,20,5,1,2
"731","HH3372",0,4,"2017-08-05","Yes","Yes","Yes","female","Yes",4,32,14,7,1,2,"Yes","No","Yes","Yes",1,3,"Yes","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",5,49,5,1,2
"732","HH3399",0,4,"2017-08-05","Yes","Yes","Yes","male","Yes",2,62,10,7,1,3,"Yes","No","No","Yes",1,1,"No","female","a","b","b","Yes",NA,NA,"1","no","Outside","No",2,30,5,1,2
"733","HH3426",0,4,"2017-08-05","Yes","Yes","No","female","Yes",2,23,8,2,0.5,1,"Yes","No","No","Yes",1,1,"Yes","female","a","c","b","No","Yes","Yes","1","yes","Outside","Yes",2,42,5,1,2
"734","HH3453",0,4,"2017-08-05","Yes","Yes","No","male","Yes",5,33,5,7,1,3,"Yes","No","Yes","Yes",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","Yes",4,28,5,1,2
"735","HH3480",0,4,"2017-08-05","Yes","Yes","No","female","Yes",4,54,7,7,1,2.5,"Yes","No","Yes","Yes",1,4,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,67,5,1,2
"736","HH3507",0,4,"2017-08-05","Yes","Yes","No","couple","Yes",3,54,4,3,1.5,1.5,"Yes","No","No","Yes",1,2,"No","couple","b","c","b","Yes",NA,NA,"1","no","Outside","No",2,52,5,1,2
"737","FH667",1,16,"2017-08-05","Yes","Yes","Yes",NA,"Yes",2,66,8,2,0.25,0.379999995231628,"No","No","No","No",1,3,"No","female","c","b","b","Yes",NA,NA,"2","yes","Outside","No",NA,NA,6,1,2
"738","HH1249",0,7,"2017-08-05","Yes","Yes","Yes","female","Yes",4,27,4,5,4,17,"Yes","No","No","No",1,1,"Yes","female","d","c","b","Yes",NA,NA,"1","no","Outside","No",6,999,6,1,2
